Category: All categories

Month,emissions: (United States)
2004-01,60
2004-02,73
2004-03,69
2004-04,84
2004-05,62
2004-06,68
2004-07,69
2004-08,62
2004-09,64
2004-10,71
2004-11,63
2004-12,61
2005-01,55
2005-02,66
2005-03,67
2005-04,74
2005-05,66
2005-06,66
2005-07,66
2005-08,64
2005-09,56
2005-10,60
2005-11,60
2005-12,57
2006-01,57
2006-02,60
2006-03,63
2006-04,68
2006-05,58
2006-06,60
2006-07,59
2006-08,60
2006-09,59
2006-10,61
2006-11,53
2006-12,52
2007-01,65
2007-02,67
2007-03,74
2007-04,76
2007-05,75
2007-06,68
2007-07,65
2007-08,68
2007-09,63
2007-10,68
2007-11,68
2007-12,60
2008-01,62
2008-02,64
2008-03,66
2008-04,76
2008-05,71
2008-06,61
2008-07,61
2008-08,55
2008-09,59
2008-10,62
2008-11,62
2008-12,58
2009-01,59
2009-02,62
2009-03,68
2009-04,72
2009-05,68
2009-06,62
2009-07,60
2009-08,56
2009-09,57
2009-10,64
2009-11,65
2009-12,61
2010-01,57
2010-02,57
2010-03,64
2010-04,66
2010-05,62
2010-06,60
2010-07,54
2010-08,52
2010-09,52
2010-10,53
2010-11,54
2010-12,49
2011-01,53
2011-02,59
2011-03,60
2011-04,67
2011-05,62
2011-06,63
2011-07,61
2011-08,61
2011-09,56
2011-10,63
2011-11,62
2011-12,55
2012-01,53
2012-02,55
2012-03,56
2012-04,61
2012-05,59
2012-06,56
2012-07,55
2012-08,51
2012-09,57
2012-10,53
2012-11,56
2012-12,50
2013-01,53
2013-02,56
2013-03,56
2013-04,60
2013-05,56
2013-06,55
2013-07,54
2013-08,53
2013-09,55
2013-10,53
2013-11,54
2013-12,49
2014-01,52
2014-02,57
2014-03,62
2014-04,65
2014-05,59
2014-06,58
2014-07,58
2014-08,55
2014-09,55
2014-10,56
2014-11,53
2014-12,48
2015-01,52
2015-02,52
2015-03,60
2015-04,56
2015-05,60
2015-06,59
2015-07,60
2015-08,64
2015-09,85
2015-10,71
2015-11,64
2015-12,53
2016-01,59
2016-02,72
2016-03,76
2016-04,72
2016-05,74
2016-06,75
2016-07,63
2016-08,65
2016-09,62
2016-10,68
2016-11,68
2016-12,61
2017-01,69
2017-02,71
2017-03,80
2017-04,75
2017-05,76
2017-06,80
2017-07,72
2017-08,73
2017-09,69
2017-10,71
2017-11,68
2017-12,58
2018-01,66
2018-02,71
2018-03,80
2018-04,80
2018-05,74
2018-06,76
2018-07,74
2018-08,74
2018-09,68
2018-10,78
2018-11,71
2018-12,71
2019-01,73
2019-02,85
2019-03,91
2019-04,90
2019-05,89
2019-06,81
2019-07,84
2019-08,82
2019-09,94
2019-10,80
2019-11,76
2019-12,73
2020-01,79
2020-02,84
2020-03,74
2020-04,67
2020-05,80
2020-06,91
2020-07,81
2020-08,77
2020-09,79
2020-10,83
2020-11,72
2020-12,70
2021-01,72
2021-02,78
2021-03,88
2021-04,89
2021-05,80
2021-06,80
2021-07,77
2021-08,83
2021-09,76
2021-10,83
2021-11,87
2021-12,73
2022-01,78
2022-02,88
2022-03,98
2022-04,100
2022-05,88
2022-06,83
2022-07,89
2022-08,89
2022-09,82
2022-10,83
2022-11,84
2022-12,76
2023-01,85
2023-02,90
2023-03,99
