Category: All categories

Month,emissions: (United Kingdom)
2004-01,40
2004-02,39
2004-03,38
2004-04,39
2004-05,39
2004-06,34
2004-07,30
2004-08,38
2004-09,31
2004-10,28
2004-11,29
2004-12,29
2005-01,39
2005-02,41
2005-03,36
2005-04,37
2005-05,42
2005-06,26
2005-07,31
2005-08,31
2005-09,31
2005-10,35
2005-11,36
2005-12,34
2006-01,30
2006-02,35
2006-03,90
2006-04,43
2006-05,36
2006-06,34
2006-07,32
2006-08,32
2006-09,31
2006-10,37
2006-11,55
2006-12,30
2007-01,52
2007-02,52
2007-03,91
2007-04,56
2007-05,51
2007-06,54
2007-07,43
2007-08,42
2007-09,42
2007-10,42
2007-11,45
2007-12,39
2008-01,49
2008-02,66
2008-03,100
2008-04,60
2008-05,61
2008-06,56
2008-07,88
2008-08,45
2008-09,47
2008-10,42
2008-11,41
2008-12,31
2009-01,43
2009-02,40
2009-03,41
2009-04,41
2009-05,38
2009-06,34
2009-07,34
2009-08,28
2009-09,33
2009-10,34
2009-11,39
2009-12,35
2010-01,39
2010-02,39
2010-03,40
2010-04,38
2010-05,34
2010-06,34
2010-07,29
2010-08,25
2010-09,26
2010-10,31
2010-11,32
2010-12,27
2011-01,41
2011-02,37
2011-03,41
2011-04,32
2011-05,37
2011-06,36
2011-07,31
2011-08,28
2011-09,31
2011-10,32
2011-11,36
2011-12,27
2012-01,34
2012-02,34
2012-03,36
2012-04,31
2012-05,33
2012-06,25
2012-07,25
2012-08,24
2012-09,25
2012-10,27
2012-11,30
2012-12,21
2013-01,28
2013-02,29
2013-03,28
2013-04,31
2013-05,28
2013-06,24
2013-07,23
2013-08,22
2013-09,24
2013-10,26
2013-11,28
2013-12,20
2014-01,28
2014-02,30
2014-03,28
2014-04,27
2014-05,25
2014-06,26
2014-07,24
2014-08,22
2014-09,24
2014-10,23
2014-11,27
2014-12,21
2015-01,28
2015-02,29
2015-03,30
2015-04,27
2015-05,26
2015-06,25
2015-07,26
2015-08,20
2015-09,86
2015-10,77
2015-11,46
2015-12,31
2016-01,31
2016-02,33
2016-03,31
2016-04,40
2016-05,31
2016-06,26
2016-07,23
2016-08,23
2016-09,24
2016-10,27
2016-11,33
2016-12,26
2017-01,56
2017-02,51
2017-03,46
2017-04,41
2017-05,35
2017-06,30
2017-07,31
2017-08,28
2017-09,29
2017-10,33
2017-11,37
2017-12,24
2018-01,35
2018-02,36
2018-03,35
2018-04,35
2018-05,35
2018-06,34
2018-07,31
2018-08,31
2018-09,40
2018-10,58
2018-11,36
2018-12,30
2019-01,41
2019-02,41
2019-03,46
2019-04,56
2019-05,44
2019-06,40
2019-07,37
2019-08,36
2019-09,42
2019-10,44
2019-11,40
2019-12,35
2020-01,49
2020-02,51
2020-03,41
2020-04,29
2020-05,28
2020-06,35
2020-07,40
2020-08,33
2020-09,37
2020-10,35
2020-11,32
2020-12,32
2021-01,40
2021-02,45
2021-03,46
2021-04,51
2021-05,47
2021-06,40
2021-07,42
2021-08,42
2021-09,40
2021-10,50
2021-11,61
2021-12,35
2022-01,52
2022-02,50
2022-03,56
2022-04,47
2022-05,51
2022-06,49
2022-07,46
2022-08,47
2022-09,43
2022-10,49
2022-11,55
2022-12,43
2023-01,53
2023-02,55
2023-03,67
