mrc_table6
par_pctile,tier,tier_name,par_mean,k_mean,k_rank,k_top1pc,k_top5pc,k_top10pc,k_q5,k_q4,k_q3,k_q2,k_q1,k_nowork,married,k_median,k_median_nozero,count,tot_count,density
0,1,Ivy Plus,1500,198900,0.6978631324432560,0.15555556,0.3037037,0.37037036,0.54814816,0.11851852,0.14074074,0.06666667,0.12592593,0.11851852,0.45925927,61300,68000,135,52724,0.0025605038
0,2,Other elite schools (public and private),1600,70300,0.6594622465931190,0.071100913,0.21100917,0.30733943,0.50688076,0.13073394,0.11238532,0.10321101,0.146789,0.13761468,0.46559632,56400,62400,436,183973,0.002369913
0,3,Highly selective public,1700,55500,0.6238404666538750,0.031319909,0.14653245,0.22930649,0.38031319,0.22706935,0.12863535,0.12639821,0.1375839,0.13199104,0.43176734,43700,50400,894,393548,0.0022716415
0,4,Highly selective private,1600,54000,0.5926307843968920,0.043307085,0.16141732,0.25984251,0.38582677,0.1456693,0.13779527,0.1456693,0.18503937,0.18110237,0.42519686,41200,50900,254,134098,0.0018941371
0,5,Selective public,1800,37500,0.5367838940353050,0.0069455407,0.049881607,0.1082873,0.2273086,0.23172849,0.19715863,0.18374112,0.16006315,0.14632991,0.42241517,32000,37600,6335,1944082,0.0032586074
0,6,Selective private,1800,42800,0.5556441657902220,0.014955812,0.077498302,0.14140041,0.27464309,0.21278042,0.18490823,0.17063223,0.15703602,0.14615907,0.48946294,33200,39700,1471,486852,0.0030214521
0,7,Nonselective four-year public,1900,28200,0.4597004441066320,0.0047586677,0.021753909,0.053025153,0.12372535,0.19646499,0.23657376,0.25288919,0.1903467,0.1753909,0.35622028,22400,28700,1471,257854,0.0057047787
0,8,Nonselective four-year private not-for-profit,1800,24700,0.4202462587718490,0.0035460994,0.017730497,0.05319149,0.12411348,0.11702128,0.23049645,0.29432625,0.23404256,0.21631205,0.33687943,16700,23400,282,55947,0.0050404849
0,9,Two-year (public and private not-for-profit),1800,25500,0.4377993560688630,0.0024925224,0.016367564,0.042455964,0.11091725,0.17156862,0.23903289,0.26404122,0.21444002,0.19449984,0.32984379,19900,26600,12036,2021451,0.0059541389
0,10,Four-year for-profit,1700,26100,0.4490640268272270,0.00093023258,0.016744185,0.046511628,0.12279069,0.17209302,0.24744186,0.26883721,0.18883722,0.16651163,0.26511627,20400,25400,1075,126025,0.0085300533
0,11,Two-year for-profit,1700,27300,0.4650656687726160,0.0027855153,0.0083565461,0.041782729,0.12813371,0.2005571,0.25626743,0.22841226,0.18662952,0.16155989,0.29805014,23700,28800,359,42313,0.0084843906
0,12,Less than two-year schools of any type,1900,16300,0.3417715181834620,0,0,0.012195121,0.048780486,0.048780486,0.24390243,0.40243903,0.25609756,0.24390244,0.24390243,14000,18900,82,10121,0.0081019662
0,13,Attending college with insufficient data,1800,23100,0.4128457334028930,0.0015547263,0.01378524,0.03368574,0.085406303,0.1453151,0.24409203,0.30897593,0.21621062,0.19879767,0.28130183,17300,23100,9648,942344,0.010238299
0,14.1,Late attender (ages 23-28),1900,16600,0.3458246914197710,0.00076452602,0.0059985886,0.016113855,0.04181369,0.093095742,0.20818631,0.37914607,0.27775818,0.23888497,0.22494708,12200,16600,17004,1239448,0.01371901
0,14.2,Never attended college (before year 2013),1800,11300,0.2637584123325390,0.00062399713,0.0043858085,0.01073275,0.030005349,0.063308969,0.13289356,0.26837227,0.50541985,0.47769657,0.16808701,900,16000,56090,2866578,0.019566884
1,1,Ivy Plus,4600,101800,0.669679963488115,0.11111111,0.2962963,0.4074074,0.50617284,0.074074075,0.16049382,0.17283951,0.086419754,0.061728396,0.39506173,58700,63000,81,52724,0.0015363023
1,2,Other elite schools (public and private),4900,73900,0.6867897719578770,0.060422961,0.23564956,0.35951662,0.54078549,0.14199395,0.087613292,0.10271903,0.12688822,0.12386707,0.45921451,61000,68700,331,183973,0.001799177
1,3,Highly selective public,4800,56600,0.6438103205354760,0.029411765,0.13970588,0.25245097,0.42769608,0.18504903,0.14705883,0.12990196,0.11029412,0.098039217,0.45955884,46800,52200,816,393548,0.0020734447
1,4,Highly selective private,4800,58900,0.6314315952704020,0.048076924,0.13942307,0.25,0.42788461,0.1826923,0.13461539,0.12019231,0.13461539,0.1298077,0.40384614,48600,54100,208,134098,0.0015511044
1,5,Selective public,4800,38300,0.5460555080076770,0.0068745003,0.048281375,0.1048761,0.23053558,0.23181455,0.2148681,0.18401279,0.13876899,0.12645884,0.41023183,32700,37300,6255,1944082,0.0032174569
1,6,Selective private,4800,39700,0.5420353648161160,0.01183432,0.059171598,0.11242604,0.23816568,0.22855029,0.19378698,0.17603551,0.16346154,0.14940828,0.42973372,32700,38500,1352,486852,0.0027770246
1,7,Nonselective four-year public,4800,28300,0.4681974763388340,0.0012224938,0.018337408,0.050733496,0.13386309,0.19559902,0.23471883,0.25488997,0.18092909,0.16687042,0.349022,23300,29200,1636,257854,0.0063446756
1,8,Nonselective four-year private not-for-profit,4800,24300,0.4247924508461470,0.0036496352,0.02919708,0.043795623,0.094890513,0.16058394,0.25547445,0.27372262,0.21532847,0.18613139,0.33211681,18100,24400,274,55947,0.0048974925
1,9,Two-year (public and private not-for-profit),4800,26000,0.4403206965591440,0.0020608751,0.01521877,0.042010147,0.10914712,0.18135701,0.23367153,0.26688331,0.20894103,0.18904565,0.318643,20100,26500,12616,2021451,0.0062410617
1,10,Four-year for-profit,4700,25300,0.4426818977641380,0.0018761726,0.012195121,0.040337712,0.10600375,0.17542215,0.23921202,0.29174483,0.18761726,0.16510318,0.24015009,20100,25700,1066,126025,0.0084586395
1,11,Two-year for-profit,4800,26000,0.4375239991601800,0.0025316456,0.017721519,0.043037973,0.11392406,0.1670886,0.23544304,0.28101265,0.20253165,0.18481012,0.25569621,20000,26400,395,42313,0.0093351929
1,12,Less than two-year schools of any type,4800,21000,0.3744459786054860,0.010416667,0.010416667,0.03125,0.041666668,0.10416666,0.26041669,0.36458334,0.22916667,0.21875,0.30208334,16100,19500,96,10121,0.0094852289
1,13,Attending college with insufficient data,4900,23900,0.4232962792000010,0.0010357328,0.013360953,0.035007767,0.090005182,0.15732782,0.24205075,0.30999482,0.20062144,0.17949249,0.27560851,18000,23500,9655,942344,0.010245727
1,14.1,Late attender (ages 23-28),4800,17700,0.3449695733392030,0.00084038323,0.0047061462,0.013390106,0.039610062,0.095243432,0.20365286,0.38719255,0.27430108,0.24141409,0.21704297,12200,16500,17849,1239448,0.014400765
1,14.2,Never attended college (before year 2013),4800,12300,0.2761755313612190,0.00050961907,0.0044955681,0.011047813,0.029412299,0.068762168,0.14369437,0.28922701,0.46890414,0.4385272,0.171141,2600,16000,54943,2866578,0.019166756
2,1,Ivy Plus,6900,124100,0.7226841564840410,0.13978495,0.36559141,0.4623656,0.60215056,0.12903225,0.032258067,0.096774198,0.13978495,0.13978495,0.44086021,72900,83300,93,52724,0.0017639026
2,2,Other elite schools (public and private),6900,71300,0.6849871990380770,0.059374999,0.21562499,0.30312499,0.484375,0.21249999,0.090624996,0.10625,0.10625,0.1,0.41562501,53200,59200,320,183973,0.0017393857
